radius_mm,from,to,distance_m,direct_m,min_conservative_radius_mm,reachable
100,entrance,entrance,0.000000,0.000000,1058,true
100,entrance,information,16.996551,15.880806,558,true
100,entrance,registration,17.659293,16.763055,158,true
100,entrance,imaging,54.187215,46.686186,108,true
100,entrance,function,75.675945,61.360900,108,true
100,entrance,clinic1,67.184776,50.763767,108,true
100,entrance,clinic2,46.907821,37.483330,158,true
100,entrance,mri,64.904372,56.438639,158,true
100,entrance,dr,55.933810,50.409920,158,true
100,entrance,ct1,54.713708,51.197266,158,true
100,entrance,ct2,57.524473,53.254108,158,true
100,entrance,accessibleLift,19.119596,17.708755,233,true
100,entrance,pharmacy,5.765685,5.614268,908,true
100,information,entrance,16.996551,15.880806,458,true
100,information,information,0.000000,0.000000,858,true
100,information,registration,7.676955,6.603030,133,true
100,information,imaging,46.326912,43.046487,108,true
100,information,function,68.284271,62.385255,108,true
100,information,clinic1,59.793102,53.263496,108,true
100,information,clinic2,42.445079,37.320236,158,true
100,information,mri,55.989654,49.831717,158,true
100,information,dr,46.667619,37.932572,158,true
100,information,ct1,45.447518,40.621177,158,true
100,information,ct2,48.609755,44.714651,158,true
100,information,accessibleLift,15.125483,14.166157,258,true
100,information,pharmacy,19.267619,19.096597,858,true
100,registration,entrance,17.659293,16.763055,258,true
100,registration,information,7.676955,6.603030,258,true
100,registration,registration,0.000000,0.000000,933,true
100,registration,imaging,53.797980,49.648766,108,true
100,registration,function,75.755339,68.782556,108,true
100,registration,clinic1,67.264170,59.449811,108,true
100,registration,clinic2,49.916147,43.712698,158,true
100,registration,mri,63.197980,56.297069,158,true
100,registration,dr,51.767114,43.145336,158,true
100,registration,ct1,50.547013,46.466332,158,true
100,registration,ct2,55.818081,50.960769,158,true
100,registration,accessibleLift,22.596551,20.436242,258,true
100,registration,pharmacy,23.093607,21.377558,258,true
100,imaging,entrance,54.187215,46.686186,158,true
100,imaging,information,46.326912,43.046487,158,true
100,imaging,registration,53.797980,49.648766,158,true
100,imaging,imaging,0.000000,0.000000,1911,true
100,imaging,function,27.622540,23.169808,108,true
100,imaging,clinic1,22.610765,20.041956,108,true
100,imaging,clinic2,11.965685,11.806778,658,true
100,imaging,mri,20.871068,12.757743,158,true
100,imaging,dr,39.230866,29.252692,158,true
100,imaging,ct1,32.519596,22.300673,158,true
100,imaging,ct2,26.076955,16.211107,158,true
100,imaging,accessibleLift,35.067619,30.269457,158,true
100,imaging,pharmacy,51.467619,43.289722,158,true
100,function,entrance,75.675945,61.360900,158,true
100,function,information,68.284271,62.385255,158,true
100,function,registration,75.755339,68.782556,258,true
100,function,imaging,27.622540,23.169808,208,true
100,function,function,0.000000,0.000000,1772,true
100,function,clinic1,12.168124,11.280071,208,true
100,function,clinic2,28.768124,25.071099,258,true
100,function,mri,39.527922,29.362561,158,true
100,function,dr,63.342136,51.744758,158,true
100,function,ct1,55.927922,44.171484,158,true
100,function,ct2,47.727922,36.597814,158,true
100,function,accessibleLift,56.556349,48.355765,158,true
100,function,pharmacy,72.956349,56.605653,158,true
100,clinic1,entrance,67.184776,50.763767,158,true
100,clinic1,information,59.793102,53.263496,158,true
100,clinic1,registration,67.264170,59.449811,158,true
100,clinic1,imaging,22.610765,20.041956,158,true
100,clinic1,function,12.168124,11.280071,108,true
100,clinic1,clinic1,0.000000,0.000000,1758,true
100,clinic1,clinic2,20.276955,16.600000,158,true
100,clinic1,mri,34.867619,30.440105,158,true
100,clinic1,dr,58.330361,49.092973,158,true
100,clinic1,ct1,51.267619,42.338162,158,true
100,clinic1,ct2,43.067619,35.948853,158,true
100,clinic1,accessibleLift,48.065180,39.097826,158,true
100,clinic1,pharmacy,64.465180,45.818773,158,true
100,clinic2,entrance,46.907821,37.483330,158,true
100,clinic2,information,42.445079,37.320236,158,true
100,clinic2,registration,49.916147,43.712698,158,true
100,clinic2,imaging,11.965685,11.806778,708,true
100,clinic2,function,28.768124,25.071099,108,true
100,clinic2,clinic1,20.276955,16.600000,108,true
100,clinic2,clinic2,0.000000,0.000000,1917,true
100,clinic2,mri,32.133810,24.452403,158,true
100,clinic2,dr,41.964675,35.656136,158,true
100,clinic2,ct1,35.956349,30.320950,158,true
100,clinic2,ct2,29.513708,26.294486,158,true
100,clinic2,accessibleLift,27.788225,23.293776,158,true
100,clinic2,pharmacy,44.188225,33.366450,158,true
100,mri,entrance,64.904372,56.438639,158,true
100,mri,information,55.989654,49.831717,158,true
100,mri,registration,63.197980,56.297069,133,true
100,mri,imaging,20.871068,12.757743,158,true
100,mri,function,39.527922,29.362561,108,true
100,mri,clinic1,34.867619,30.440105,108,true
100,mri,clinic2,32.133810,24.452403,158,true
100,mri,mri,0.000000,0.000000,1558,true
100,mri,dr,24.400000,24.400000,1358,true
100,mri,ct1,16.400000,16.400000,1358,true
100,mri,ct2,8.200000,8.200000,1358,true
100,mri,accessibleLift,45.784776,39.000000,158,true
100,mri,pharmacy,62.184776,53.777691,158,true
100,dr,entrance,55.933810,50.409920,258,true
100,dr,information,46.667619,37.932572,158,true
100,dr,registration,51.767114,43.145336,133,true
100,dr,imaging,39.230866,29.252692,108,true
100,dr,function,63.342136,51.744758,108,true
100,dr,clinic1,58.330361,49.092973,108,true
100,dr,clinic2,41.964675,35.656136,158,true
100,dr,mri,24.400000,24.400000,1358,true
100,dr,dr,0.000000,0.000000,1558,true
100,dr,ct1,8.000000,8.000000,1358,true
100,dr,ct2,16.200000,16.200000,1358,true
100,dr,accessibleLift,37.145584,33.913419,258,true
100,dr,pharmacy,53.545584,50.211154,258,true
100,ct1,entrance,54.713708,51.197266,258,true
100,ct1,information,45.447518,40.621177,158,true
100,ct1,registration,50.547013,46.466332,133,true
100,ct1,imaging,32.519596,22.300673,108,true
100,ct1,function,55.927922,44.171484,108,true
100,ct1,clinic1,51.267619,42.338162,108,true
100,ct1,clinic2,35.956349,30.320950,158,true
100,ct1,mri,16.400000,16.400000,1358,true
100,ct1,dr,8.000000,8.000000,1358,true
100,ct1,ct1,0.000000,0.000000,1558,true
100,ct1,ct2,8.200000,8.200000,1358,true
100,ct1,accessibleLift,35.594113,33.771586,258,true
100,ct1,pharmacy,51.994113,50.115467,258,true
100,ct2,entrance,57.524473,53.254108,158,true
100,ct2,information,48.609755,44.714651,158,true
100,ct2,registration,55.818081,50.960769,133,true
100,ct2,imaging,26.076955,16.211107,108,true
100,ct2,function,47.727922,36.597814,108,true
100,ct2,clinic1,43.067619,35.948853,108,true
100,ct2,clinic2,29.513708,26.294486,158,true
100,ct2,mri,8.200000,8.200000,1358,true
100,ct2,dr,16.200000,16.200000,1358,true
100,ct2,ct1,8.200000,8.200000,1358,true
100,ct2,ct2,0.000000,0.000000,1584,true
100,ct2,accessibleLift,38.404877,35.546027,158,true
100,ct2,pharmacy,54.804877,51.327965,158,true
100,accessibleLift,entrance,19.119596,17.708755,1058,true
100,accessibleLift,information,15.125483,14.166157,258,true
100,accessibleLift,registration,22.596551,20.436242,258,true
100,accessibleLift,imaging,35.067619,30.269457,108,true
100,accessibleLift,function,56.556349,48.355765,108,true
100,accessibleLift,clinic1,48.065180,39.097826,108,true
100,accessibleLift,clinic2,27.788225,23.293776,158,true
100,accessibleLift,mri,45.784776,39.000000,158,true
100,accessibleLift,dr,37.145584,33.913419,158,true
100,accessibleLift,ct1,35.594113,33.771586,158,true
100,accessibleLift,ct2,38.404877,35.546027,158,true
100,accessibleLift,accessibleLift,0.000000,0.000000,1358,true
100,accessibleLift,pharmacy,16.400000,16.400000,1058,true
100,pharmacy,entrance,5.765685,5.614268,1058,true
100,pharmacy,information,19.267619,19.096597,858,true
100,pharmacy,registration,23.093607,21.377558,158,true
100,pharmacy,imaging,51.467619,43.289722,108,true
100,pharmacy,function,72.956349,56.605653,108,true
100,pharmacy,clinic1,64.465180,45.818773,108,true
100,pharmacy,clinic2,44.188225,33.366450,158,true
100,pharmacy,mri,62.184776,53.777691,158,true
100,pharmacy,dr,53.545584,50.211154,158,true
100,pharmacy,ct1,51.994113,50.115467,158,true
100,pharmacy,ct2,54.804877,51.327965,158,true
100,pharmacy,accessibleLift,16.400000,16.400000,1058,true
100,pharmacy,pharmacy,0.000000,0.000000,1308,true
150,entrance,entrance,0.000000,0.000000,1058,true
150,entrance,information,16.996551,15.880806,558,true
150,entrance,registration,17.659293,16.763055,158,true
150,entrance,imaging,54.304372,46.686186,158,true
150,entrance,function,75.910260,61.360900,158,true
150,entrance,clinic1,67.536248,50.763767,158,true
150,entrance,clinic2,47.024978,37.483330,158,true
150,entrance,mri,64.904372,56.438639,158,true
150,entrance,dr,55.933810,50.409920,158,true
150,entrance,ct1,54.713708,51.197266,158,true
150,entrance,ct2,57.524473,53.254108,158,true
150,entrance,accessibleLift,19.119596,17.708755,233,true
150,entrance,pharmacy,5.765685,5.614268,908,true
150,information,entrance,16.996551,15.880806,458,true
150,information,information,0.000000,0.000000,858,true
150,information,registration,7.676955,6.603030,333,true
150,information,imaging,46.444069,43.046487,158,true
150,information,function,68.284271,62.385255,158,true
150,information,clinic1,59.910260,53.263496,158,true
150,information,clinic2,42.445079,37.320236,158,true
150,information,mri,56.106811,49.831717,158,true
150,information,dr,46.667619,37.932572,158,true
150,information,ct1,45.447518,40.621177,158,true
150,information,ct2,48.726912,44.714651,158,true
150,information,accessibleLift,15.125483,14.166157,258,true
150,information,pharmacy,19.267619,19.096597,858,true
150,registration,entrance,17.659293,16.763055,258,true
150,registration,information,7.676955,6.603030,258,true
150,registration,registration,0.000000,0.000000,933,true
150,registration,imaging,53.915137,49.648766,158,true
150,registration,function,75.755339,68.782556,158,true
150,registration,clinic1,67.381328,59.449811,158,true
150,registration,clinic2,49.916147,43.712698,158,true
150,registration,mri,63.197980,56.297069,158,true
150,registration,dr,51.767114,43.145336,158,true
150,registration,ct1,50.547013,46.466332,158,true
150,registration,ct2,55.818081,50.960769,158,true
150,registration,accessibleLift,22.596551,20.436242,258,true
